date,value
2020-01-04,1
2020-01-05,1
2020-01-06,4
2020-01-07,4
2020-01-08,4
2020-01-09,4
2020-01-10,4
2020-01-11,4
2020-01-12,45
2020-01-13,45
2020-01-14,45
2020-01-15,45
2020-01-16,45
2020-01-17,49
2020-01-18,49
2020-01-19,125
2020-01-20,202
2020-01-21,295
2020-01-22,442
2020-01-23,574
2020-01-24,835
2020-01-25,1297
2020-01-26,1985
2020-01-27,2761
2020-01-28,4533
2020-01-29,5997
2020-01-30,7736
2020-01-31,9720
2020-02-01,11821
2020-02-02,14411
2020-02-03,17238
2020-02-04,20471
2020-02-05,24363
2020-02-06,28060
2020-02-07,31211
2020-02-08,34598
2020-02-09,37251
2020-02-10,40235
2020-02-11,42708
2020-02-12,44730
2020-02-13,59882
2020-02-14,63932
2020-02-15,66576
2020-02-16,68584
2020-02-17,70635
2020-02-18,72528
2020-02-19,74278
2020-02-20,74675
2020-02-21,75568
2020-02-22,76393
2020-02-23,77042
2020-02-24,77262
2020-02-25,77779
2020-02-26,78190
2020-02-27,78630
2020-02-28,78959
2020-02-29,79389
2020-03-01,79968
2020-03-02,80174
2020-03-03,80302
2020-03-04,80422
2020-03-05,80565
2020-03-06,80710
2020-03-07,80813
2020-03-08,80859
2020-03-09,80904
2020-03-10,80924
2020-03-11,80955
2020-03-12,80980
2020-03-13,80991
2020-03-14,81021
2020-03-15,81048
2020-03-16,81077
2020-03-17,81117
2020-03-18,81151
2020-03-19,81237
2020-03-20,81300
2020-03-21,81416
2020-03-22,81498
2020-03-23,81601
2020-03-24,81747
2020-03-25,81848
2020-03-26,81961
2020-03-27,82078
2020-03-28,82213
2020-03-29,82341
2020-03-30,82447
2020-03-31,82545
2020-04-01,82631
2020-04-02,82724
2020-04-03,82802
2020-04-04,82875
2020-04-05,82930
2020-04-06,83005
2020-04-07,83072
2020-04-08,83157
2020-04-09,83249
2020-04-10,83305
2020-04-11,83369
2020-04-12,83482
2020-04-13,83597
2020-04-14,83696
2020-04-15,83745
2020-04-16,83797
2020-04-17,83824
2020-04-18,84180
2020-04-19,84201
2020-04-20,84237
2020-04-21,84250
2020-04-22,84287
2020-04-23,84302
2020-04-24,84311
2020-04-25,84324
2020-04-26,84338
2020-04-27,84341
2020-04-28,84347
2020-04-29,84369
2020-04-30,84373
2020-05-01,84385
2020-05-02,84388
2020-05-03,84393
2020-05-04,84400
2020-05-05,84404
2020-05-06,84406
2020-05-07,84409
2020-05-08,84415
2020-05-09,84416
2020-05-10,84430
2020-05-11,84450
2020-05-12,84451
2020-05-13,84458
2020-05-14,84464
2020-05-15,84469
2020-05-16,84478
2020-05-17,84484
2020-05-18,84494
2020-05-19,84500
2020-05-20,84505
2020-05-21,84507
2020-05-22,84520
2020-05-23,84522
2020-05-24,84525
2020-05-25,84536
2020-05-26,84543
2020-05-27,84544
2020-05-28,84547
2020-05-29,84547
2020-05-30,84565
2020-05-31,84570
2020-06-01,84588
2020-06-02,84597
2020-06-03,84602
2020-06-04,84603
2020-06-05,84614
2020-06-06,84620
2020-06-07,84629
2020-06-08,84634
2020-06-09,84638
2020-06-10,84641
2020-06-11,84652
2020-06-12,84659
2020-06-13,84671
2020-06-14,84729
2020-06-15,84778
2020-06-16,84823
2020-06-17,84867
2020-06-18,84903
2020-06-19,84940
2020-06-20,84970
2020-06-21,84997
2020-06-22,85018
2020-06-23,85070
2020-06-24,85098
2020-06-25,85119
2020-06-26,85148
2020-06-27,85172
2020-06-28,85190
2020-06-29,85204
2020-06-30,85227
2020-07-01,85232
2020-07-02,85263
2020-07-03,85278
2020-07-04,85287
2020-07-05,85306
2020-07-06,85320
2020-07-07,85345
2020-07-08,85366
2020-07-09,85399
2020-07-10,85445
2020-07-11,85487
2020-07-12,85522
2020-07-13,85568
2020-07-14,85623
2020-07-15,85677
2020-07-16,85697
2020-07-17,85775
2020-07-18,85857
2020-07-19,85937
2020-07-20,86068
2020-07-21,86152
2020-07-22,86226
2020-07-23,86361
2020-07-24,86500
2020-07-25,86660
2020-07-26,86839
2020-07-27,87028
2020-07-28,87245
2020-07-29,87457
2020-07-30,87680
2020-07-31,87956
2020-08-01,88122
2020-08-02,88302
2020-08-03,88460
2020-08-04,88574
2020-08-05,88682
2020-08-06,88804
2020-08-07,88937
2020-08-08,89057
2020-08-09,89149
2020-08-10,89270
2020-08-11,89383
2020-08-12,89444
2020-08-13,89526
2020-08-14,89625
2020-08-15,89695
2020-08-16,89761
2020-08-17,89859
2020-08-18,89926
2020-08-19,89980
2020-08-20,90013
2020-08-21,90053
2020-08-22,90103
2020-08-23,90141
2020-08-24,90182
2020-08-25,90205
2020-08-26,90239
2020-08-27,90271
2020-08-28,90301
2020-08-29,90323
2020-08-30,90351
2020-08-31,90383
2020-09-01,90402
2020-09-02,90422
2020-09-03,90442
2020-09-04,90475
2020-09-05,90498
2020-09-06,90517
2020-09-07,90551
2020-09-08,90573
2020-09-09,90582
2020-09-10,90595
2020-09-11,90623
2020-09-12,90643
2020-09-13,90666
2020-09-14,90695
2020-09-15,90718
2020-09-16,90734
2020-09-17,90753
2020-09-18,90797
2020-09-19,90814
2020-09-20,90840
2020-09-21,90876
2020-09-22,90890
2020-09-23,90908
2020-09-24,90918
2020-09-25,90933
2020-09-26,90951
2020-09-27,90966
2020-09-28,90993
2020-09-29,91018
2020-09-30,91041
2020-10-01,91061
2020-10-02,91082
2020-10-03,91101
2020-10-04,91121
2020-10-05,91146
2020-10-06,91170
2020-10-07,91188
2020-10-08,91212
2020-10-09,91252
2020-10-10,91278
2020-10-11,91305
2020-10-12,91333
2020-10-13,91359
2020-10-14,91387
2020-10-15,91398
2020-10-16,91435
2020-10-17,91459
2020-10-18,91489
2020-10-19,91506
2020-10-20,91545
2020-10-21,91564
2020-10-22,91587
2020-10-23,91620
2020-10-24,91652
2020-10-25,91674
2020-10-26,91700
2020-10-27,91724
2020-10-28,91771
2020-10-29,91821
2020-10-30,91852
2020-10-31,91893
2020-11-01,91921
2020-11-02,91955
2020-11-03,92015
2020-11-04,92045
2020-11-05,92077
2020-11-06,92121
2020-11-07,92164
2020-11-08,92195
2020-11-09,92242
2020-11-10,92271
2020-11-11,92299
2020-11-12,92336
2020-11-13,92372
2020-11-14,92404
2020-11-15,92428
2020-11-16,92452
2020-11-17,92476
2020-11-18,92490
2020-11-19,92513
2020-11-20,92544
2020-11-21,92588
2020-11-22,92648
2020-11-23,92733
2020-11-24,92829
2020-11-25,92914
2020-11-26,93025
2020-11-27,93113
