date	World	Afghanistan	Africa	Albania	Algeria	American Samoa	Andorra
2020-03-03	90248	1	9		5		1
2020-03-04	92464	1	14		7		1
2020-03-05	94626	1	26		17		1
2020-03-06	97113	1	30		17		1
2020-03-07	100370	1	44		17		1
2020-03-08	106628	1	80		19		1
2020-03-09	109816	4	84		20		1
2020-03-10	113596	4	98		20		1
2020-03-11	117460	4	110	2	20		1
2020-03-12	123438	7	136	10	20		1
2020-03-13	130163	7	185	15	25		1
2020-03-14	137434	7	239	23	25		2
2020-03-15	166661	7	314	33	37		2
2020-03-16	175160	10	391	38	48		2
2020-03-17	185491	16	486	42	60		14
2020-03-18	197005	22	596	51	67		39
